team_id,team_name,conference,wins,losses,win_pct,avg_home_attendance,num_home_games
772,Western Kentucky,Conference USA,9,5,0.643,16485.0,6
473,New Mexico,Mountain West Conference,3,9,0.25,16332.0,6
646,South Alabama,Sun Belt Conference,5,7,0.417,16083.0,6
719,Tulsa,American Athletic Conference,7,6,0.538,16076.0,6
523,Old Dominion,Conference USA,6,7,0.462,15966.0,6
630,San Jose State,Mountain West Conference,5,7,0.417,15447.0,6
193,Duke,Atlantic Coast Conference,3,9,0.25,15424.0,7
71,Bowling Green,Mid-American Conference,4,8,0.333,15260.0,6
149,Coastal Carolina,Sun Belt Conference,11,2,0.846,15241.0,7
86,Buffalo,Mid-American Conference,4,8,0.333,15129.0,6
204,Eastern Michigan,Mid-American Conference,7,6,0.538,15091.0,6
254,Georgia State,Sun Belt Conference,8,5,0.615,15074.0,6
366,Louisiana Tech,Conference USA,3,9,0.25,14822.0,6
164,Connecticut,FBS Independents,1,11,0.083,14686.0,6
718,Tulane,American Athletic Conference,2,10,0.167,14574.0,6
129,Central Michigan,Mid-American Conference,9,4,0.692,14462.0,6
774,Western Michigan,Mid-American Conference,8,5,0.615,13690.0,6
458,Charlotte,Conference USA,5,7,0.417,13292.0,6
498,Louisiana-Monroe,Sun Belt Conference,4,8,0.333,13280.0,6
331,Kent State,Mid-American Conference,7,7,0.5,12778.0,5
419,Middle Tennessee State,Conference USA,7,6,0.538,12351.0,5
472,New Mexico State,FBS Independents,2,10,0.167,11845.0,5
414,Miami (OH),Mid-American Conference,7,6,0.538,11696.0,5
47,Ball State,Mid-American Conference,6,7,0.462,11530.0,6
30,Arkansas State,Sun Belt Conference,2,10,0.167,11211.0,6
626,San Diego State,Mountain West Conference,12,2,0.857,10675.0,8
5,Akron,Mid-American Conference,2,10,0.167,10194.0,6
503,Northern Illinois,Mid-American Conference,9,5,0.643,9058.0,6
400,Massachusetts,FBS Independents,1,11,0.083,8994.0,6
277,Hawaii,Mountain West Conference,6,7,0.462,4605.0,3
231,FIU,Conference USA,1,11,0.083,,0
