inst_name,state_abbr,city,county_name,enrollment_men,enrollment_women,enrollment_total,ath_classification_code
Loyola University New Orleans,LA,New Orleans,Orleans Parish,1016.0,2017.0,3033.0,9.0
McNeese State University,LA,Lake Charles,Calcasieu Parish,1795.0,2837.0,4632.0,2.0
University of New Orleans,LA,New Orleans,Orleans Parish,2202.0,2341.0,4543.0,3.0
New Orleans Baptist Theological Seminary,LA,New Orleans,Orleans Parish,,,,
Nicholls State University,LA,Thibodaux,Lafourche Parish,1675.0,2899.0,4574.0,2.0
University of Louisiana at Monroe,LA,Monroe,Ouachita Parish,1542.0,2751.0,4293.0,1.0
Northwest Louisiana Technical Community College,LA,Minden,Webster Parish,,,,
Northwestern State University of Louisiana,LA,Natchitoches,Natchitoches Parish,1638.0,3840.0,5478.0,2.0
University of Holy Cross,LA,New Orleans,Orleans Parish,,,,
Franciscan Missionaries of Our Lady University,LA,Baton Rouge,East Baton Rouge Parish,,,,
Pat Goins Benton Road Beauty School,LA,Bossier City,Bossier Parish,,,,
Celebrity Stylist Beauty School,LA,Monroe,Ouachita Parish,,,,
Pineville Beauty School,LA,Pineville,Rapides Parish,,,,
Aveda Arts & Sciences Institute-Covington,LA,Covington,St. Tammany Parish,,,,
Saint Joseph Seminary College,LA,St. Benedict,St. Tammany Parish,,,,
LaSalle Tech,LA,Houma,Terrebonne Parish,,,,
Fletcher Technical Community College,LA,Schriever,Terrebonne Parish,,,,
Remington College-Lafayette Campus,LA,Lafayette,Lafayette Parish,,,,
Southern University-Board and System,LA,Baton Rouge,East Baton Rouge Parish,,,,
SOWELA Technical Community College,LA,Lake Charles,Calcasieu Parish,,,,
Stevensons Academy of Hair Design,LA,New Orleans,Orleans Parish,,,,
Southeastern Louisiana University,LA,Hammond,Tangipahoa Parish,3107.0,5209.0,8316.0,2.0
Southern University and A & M College,LA,Baton Rouge,East Baton Rouge Parish,1684.0,3342.0,5026.0,2.0
Southern University at New Orleans,LA,New Orleans,Orleans Parish,,,,
Southern University at Shreveport,LA,Shreveport,Caddo Parish,435.0,807.0,1242.0,12.0
University of Louisiana at Lafayette,LA,Lafayette,Lafayette Parish,4667.0,6178.0,10845.0,1.0
Northshore Technical Community College,LA,Lacombe,St. Tammany Parish,,,,
Tulane University of Louisiana,LA,New Orleans,Orleans Parish,3210.0,5021.0,8231.0,1.0
Xavier University of Louisiana,LA,New Orleans,Orleans Parish,603.0,2034.0,2637.0,9.0
College of the Atlantic,ME,Bar Harbor,Hancock County,,,,
Bates College,ME,Lewiston,Androscoggin County,885.0,936.0,1821.0,6.0
Beal University,ME,Bangor,Penobscot County,,,,
Bowdoin College,ME,Brunswick,Cumberland County,960.0,988.0,1948.0,6.0
Maine College of Health Professions,ME,Lewiston,Androscoggin County,,,,
Central Maine Community College,ME,Auburn,Androscoggin County,462.0,441.0,903.0,20.0
Colby College,ME,Waterville,Kennebec County,1065.0,1197.0,2262.0,6.0
Eastern Maine Community College,ME,Bangor,Penobscot County,,,,
Kennebec Valley Community College,ME,Fairfield,Somerset County,,,,
The Landing School,ME,Arundel,York County,,,,
University of Maine at Augusta,ME,Augusta,Kennebec County,414.0,998.0,1412.0,20.0
University of Maine at Farmington,ME,Farmington,Franklin County,407.0,877.0,1284.0,7.0
University of Maine at Fort Kent,ME,Fort Kent,Aroostook County,148.0,284.0,432.0,20.0
University of Maine at Machias,ME,Machias,Washington County,,,,
University of Maine,ME,Orono,Penobscot County,4145.0,3999.0,8144.0,2.0
University of Maine-System Central Office,ME,Orono,Penobscot County,,,,
Maine Maritime Academy,ME,Castine,Hancock County,676.0,155.0,831.0,7.0
University of Maine at Presque Isle,ME,Presque Isle,Aroostook County,263.0,464.0,727.0,7.0
University of New England,ME,Biddeford,York County,668.0,1515.0,2183.0,6.0
Northern Maine Community College,ME,Presque Isle,Aroostook County,,,,
Empire Beauty School-Maine,ME,Portland,Cumberland County,,,,
Maine College of Art & Design,ME,Portland,Cumberland County,,,,
Saint Joseph's College of Maine,ME,Standish,Cumberland County,287.0,449.0,736.0,7.0
Spa Tech Institute-Westbrook,ME,Westbrook,Cumberland County,,,,
Southern Maine Community College,ME,South Portland,Cumberland County,909.0,855.0,1764.0,20.0
University of Southern Maine,ME,Portland,Cumberland County,1378.0,2147.0,3525.0,7.0
Thomas College,ME,Waterville,Kennebec County,342.0,325.0,667.0,7.0
Unity College,ME,New Gloucester,Waldo County,,,,
Washington County Community College,ME,Calais,Washington County,,,,
Allegany College of Maryland,MD,Cumberland,Allegany County,253.0,484.0,737.0,13.0
Anne Arundel Community College,MD,Arnold,Anne Arundel County,1255.0,1421.0,2676.0,14.0
Award Beauty School,MD,Hagerstown,Washington County,,,,
Baltimore Studio of Hair Design,MD,Baltimore,Baltimore City,,,,
Baltimore City Community College,MD,Baltimore,Baltimore City,,,,
University of Baltimore,MD,Baltimore,Baltimore City,,,,
Bowie State University,MD,Bowie,Prince George's County,1668.0,2670.0,4338.0,4.0
Capitol Technology University,MD,Laurel,Prince George's County,,,,
Cecil College,MD,North East,Cecil County,215.0,274.0,489.0,13.0
College of Southern Maryland,MD,La Plata,Charles County,858.0,1160.0,2018.0,13.0
Chesapeake College,MD,Wye Mills,Queen Anne's County,167.0,235.0,402.0,13.0
Washington Adventist University,MD,Takoma Park,Montgomery County,155.0,324.0,479.0,10.0
Coppin State University,MD,Baltimore,Baltimore City,314.0,1036.0,1350.0,3.0
Delmarva Beauty Academy,MD,Salisbury,Wicomico County,,,,
North American Trade Schools,MD,Baltimore,Baltimore County,,,,
Frederick Community College,MD,Frederick,Frederick County,718.0,725.0,1443.0,13.0
Frostburg State University,MD,Frostburg,Allegany County,1353.0,1397.0,2750.0,6.0
Garrett College,MD,McHenry,Garrett County,165.0,123.0,288.0,8.0
Goucher College,MD,Baltimore,Baltimore County,357.0,676.0,1033.0,7.0
Hagerstown Community College,MD,Hagerstown,Washington County,452.0,597.0,1049.0,12.0
Harford Community College,MD,Bel Air,Harford County,708.0,837.0,1545.0,12.0
Hood College,MD,Frederick,Frederick County,413.0,746.0,1159.0,7.0
Howard Community College,MD,Columbia,Howard County,1144.0,1165.0,2309.0,14.0
Aveda Institute-Maryland,MD,Bel Air,Harford County,,,,
Johns Hopkins University,MD,Baltimore,Baltimore City,2646.0,3073.0,5719.0,8.0
Lincoln College of Technology-Columbia,MD,Columbia,Howard County,,,,
Loyola University Maryland,MD,Baltimore,Baltimore City,1605.0,2124.0,3729.0,3.0
University of Maryland Global Campus,MD,Adelphi,Prince George's County,,,,
"University of Maryland, Baltimore",MD,Baltimore,Baltimore City,,,,
University of Maryland-Baltimore County,MD,Baltimore,Baltimore County,4989.0,4155.0,9144.0,3.0
University of Maryland-College Park,MD,College Park,Prince George's County,14315.0,14029.0,28344.0,1.0
Maryland Institute College of Art,MD,Baltimore,Baltimore City,,,,
University of Maryland Eastern Shore,MD,Princess Anne,Somerset County,747.0,872.0,1619.0,3.0
Fortis Institute-Towson,MD,Towson,Baltimore County,,,,
Montgomery Beauty School,MD,Silver Spring,Montgomery County,,,,
Montgomery College,MD,Rockville,Montgomery County,2417.0,2415.0,4832.0,13.0
Morgan State University,MD,Baltimore,Baltimore City,2363.0,3895.0,6258.0,2.0
Mount St. Mary's University,MD,Emmitsburg,Frederick County,924.0,981.0,1905.0,3.0
Ner Israel Rabbinical College,MD,Baltimore,Baltimore County,,,,
Hair Academy,MD,New Carrollton,Prince George's County,,,,
Notre Dame of Maryland University,MD,Baltimore,Baltimore City,19.0,602.0,621.0,7.0
Prince George's Community College,MD,Largo,Prince George's County,1077.0,1668.0,2745.0,14.0
Robert Paul Academy of Cosmetology Arts & Sciences,MD,Timonium,Baltimore County,,,,
Maryland Beauty Academy of Essex,MD,Baltimore,Baltimore County,,,,
Salisbury University,MD,Salisbury,Wicomico County,2664.0,3436.0,6100.0,6.0
St. Mary's College of Maryland,MD,St. Mary's City,St. Mary's County,620.0,849.0,1469.0,7.0
St. John's College,MD,Annapolis,Anne Arundel County,,,,
Towson University,MD,Towson,Baltimore County,6183.0,9327.0,15510.0,2.0
Maryland University of Integrative Health,MD,Laurel,Howard County,,,,
University System of Maryland,MD,Baltimore,Baltimore City,,,,
United States Naval Academy,MD,Annapolis,Anne Arundel County,,,,
Stevenson University,MD,Stevenson,Baltimore County,993.0,1623.0,2616.0,6.0
Washington College,MD,Chestertown,Kent County,418.0,586.0,1004.0,7.0
McDaniel College,MD,Westminster,Carroll County,747.0,985.0,1732.0,6.0
Wor-Wic Community College,MD,Salisbury,Wicomico County,,,,
Hult International Business School,MA,Cambridge,Middlesex County,,,,
American International College,MA,Springfield,Hampden County,506.0,693.0,1199.0,4.0
Amherst College,MA,Amherst,Hampshire County,957.0,1014.0,1971.0,6.0
Anna Maria College,MA,Paxton,Worcester County,499.0,422.0,921.0,6.0
Assabet Valley Regional Technical School,MA,Marlborough,Middlesex County,,,,
Assumption University,MA,Worcester,Worcester County,821.0,1058.0,1879.0,4.0
Babson College,MA,Wellesley,Norfolk County,1444.0,1088.0,2532.0,7.0
Bancroft School of Massage Therapy,MA,Worcester,Worcester County,,,,
Boston Baptist College,MA,Boston,Suffolk County,,,,
Bay Path University,MA,Longmeadow,Hampden County,,,,
Bay State College,MA,Boston,Suffolk County,,,,
Becker College,MA,Worcester,Worcester County,,,,
Bentley University,MA,Waltham,Middlesex County,2340.0,1516.0,3856.0,4.0
Berklee College of Music,MA,Boston,Suffolk County,,,,
Berkshire Community College,MA,Pittsfield,Berkshire County,,,,
Empire Beauty School-Boston,MA,Boston,Suffolk County,,,,
Boston Architectural College,MA,Boston,Suffolk County,,,,
Boston Graduate School of Psychoanalysis Inc,MA,Brookline,Norfolk County,,,,
Boston College,MA,Chestnut Hill,Middlesex County,4532.0,5126.0,9658.0,1.0
Boston University,MA,Boston,Suffolk County,7199.0,9998.0,17197.0,3.0
Brandeis University,MA,Waltham,Middlesex County,1450.0,2115.0,3565.0,5.0
Bridgewater State University,MA,Bridgewater,Plymouth County,2660.0,3836.0,6496.0,6.0
Bristol Community College,MA,Fall River,Bristol County,857.0,1427.0,2284.0,14.0
Signature Healthcare Brockton Hospital School of Nursing,MA,Brockton,Plymouth County,,,,
Bunker Hill Community College,MA,Boston,Suffolk County,1497.0,1599.0,3096.0,14.0
Cambridge College,MA,Boston,Suffolk County,,,,
Cape Cod Community College,MA,West Barnstable,Barnstable County,,,,
Catherine Hinds Institute of Esthetics,MA,Woburn,Middlesex County,,,,
Laboure College,MA,Milton,Norfolk County,,,,
Clark University,MA,Worcester,Worcester County,959.0,1319.0,2278.0,7.0
Conway School of Landscape Design,MA,Northampton,Hampshire County,,,,
Curry College,MA,Milton,Norfolk County,748.0,1048.0,1796.0,6.0
Lincoln Technical Institute-Somerville,MA,Somerville,Middlesex County,,,,
Dean College,MA,Franklin,Norfolk County,567.0,541.0,1108.0,6.0
Diman Regional Technical Institute,MA,Fall River,Bristol County,,,,
National Aviation Academy of New England,MA,Concord,Middlesex County,,,,
Eastern Nazarene College,MA,Quincy,Norfolk County,236.0,214.0,450.0,7.0
Emerson College,MA,Boston,Suffolk County,1442.0,2611.0,4053.0,7.0
Emmanuel College,MA,Boston,Suffolk County,393.0,1351.0,1744.0,7.0
Endicott College,MA,Beverly,Essex County,1024.0,1767.0,2791.0,6.0
Rob Roy Academy-Fall River,MA,Fall River,Bristol County,,,,
Fisher College,MA,Boston,Suffolk County,301.0,287.0,588.0,9.0
Fitchburg State University,MA,Fitchburg,Worcester County,1223.0,1274.0,2497.0,6.0
Framingham State University,MA,Framingham,Middlesex County,1201.0,1523.0,2724.0,6.0
Benjamin Franklin Institute of Technology,MA,Boston,Suffolk County,,,,
Gordon College,MA,Wenham,Essex County,510.0,781.0,1291.0,7.0
Gordon-Conwell Theological Seminary,MA,South Hamilton,Essex County,,,,
Greenfield Community College,MA,Greenfield,Franklin County,,,,
Hampshire College,MA,Amherst,Hampshire County,177.0,288.0,465.0,20.0
Harvard University,MA,Cambridge,Middlesex County,3654.0,3722.0,7376.0,2.0
Hebrew College,MA,Newton Centre,Middlesex County,,,,
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,Brookline,Norfolk County,,,,
College of the Holy Cross,MA,Worcester,Worcester County,1375.0,1630.0,3005.0,2.0
Holyoke Community College,MA,Holyoke,Hampden County,522.0,707.0,1229.0,14.0
Lasell University,MA,Newton,Middlesex County,456.0,811.0,1267.0,7.0
Lawrence Memorial Hospital School of Nursing,MA,Medford,Middlesex County,,,,
Lesley University,MA,Cambridge,Middlesex County,294.0,976.0,1270.0,7.0
Longy School of Music of Bard College,MA,Cambridge,Middlesex County,,,,
Lowell Academy Hairstyling Institute,MA,Lowell,Middlesex County,,,,
University of Massachusetts-Lowell,MA,Lowell,Middlesex County,5865.0,4108.0,9973.0,3.0
University of Massachusetts-Amherst,MA,Amherst,Hampshire County,11059.0,11407.0,22466.0,1.0
University of Massachusetts-Boston,MA,Boston,Suffolk County,4080.0,5809.0,9889.0,7.0
Massachusetts Bay Community College,MA,Wellesley Hills,Norfolk County,558.0,524.0,1082.0,14.0
MCPHS University,MA,Boston,Suffolk County,,,,
University of Massachusetts-Central Office,MA,Boston,Suffolk County,,,,
Massachusetts College of Art and Design,MA,Boston,Suffolk County,,,,
Massachusetts Institute of Technology,MA,Cambridge,Middlesex County,2367.0,2212.0,4579.0,6.0
Massachusetts Maritime Academy,MA,Buzzards Bay,Barnstable County,1213.0,185.0,1398.0,6.0
University of Massachusetts Medical School Worcester,MA,Worcester,Worcester County,,,,
William James College,MA,Newton,Middlesex County,,,,
Massachusetts School of Barbering,MA,Quincy,Norfolk County,,,,
Massasoit Community College,MA,Brockton,Plymouth County,820.0,914.0,1734.0,8.0
Merrimack College,MA,North Andover,Essex County,1852.0,2072.0,3924.0,2.0
MGH Institute of Health Professions,MA,Boston,Suffolk County,,,,
Middlesex Community College,MA,Bedford,Middlesex County,,,,
Montserrat College of Art,MA,Beverly,Essex County,,,,
Mount Holyoke College,MA,South Hadley,Hampshire County,,,,
Mount Wachusett Community College,MA,Gardner,Worcester County,,,,
Rob Roy Academy-New Bedford,MA,New Bedford,Bristol County,,,,
The New England Conservatory of Music,MA,Boston,Suffolk County,,,,
New England College of Optometry,MA,Boston,Suffolk County,,,,
New England Law-Boston,MA,Boston,Suffolk County,,,,
Nichols College,MA,Dudley,Worcester County,767.0,344.0,1111.0,6.0
Massachusetts College of Liberal Arts,MA,North Adams,Berkshire County,309.0,450.0,759.0,7.0
North Bennet Street School,MA,Boston,Suffolk County,,,,
North Shore Community College,MA,Danvers,Essex County,,,,
Northeastern University,MA,Boston,Suffolk County,7176.0,8469.0,15645.0,3.0
Northern Essex Community College,MA,Haverhill,Essex County,586.0,703.0,1289.0,14.0
College of Our Lady of the Elms,MA,Chicopee,Hampden County,210.0,675.0,885.0,7.0
Pine Manor College,MA,Chestnut Hill,Norfolk County,,,,
Pope St John XXIII National Seminary,MA,Weston,Middlesex County,,,,
Quincy College,MA,Quincy,Norfolk County,380.0,514.0,894.0,14.0
Quinsigamond Community College,MA,Worcester,Worcester County,943.0,1234.0,2177.0,14.0
Regis College,MA,Weston,Middlesex County,196.0,820.0,1016.0,7.0
Roxbury Community College,MA,Roxbury Crossing,Suffolk County,137.0,152.0,289.0,14.0
Saint John's Seminary,MA,Brighton,Suffolk County,,,,
Salem State University,MA,Salem,Essex County,1404.0,2794.0,4198.0,7.0
Simmons University,MA,Boston,Suffolk County,,,,
Bard College at Simon's Rock,MA,Great Barrington,Berkshire County,,,,
Smith College,MA,Northampton,Hampshire County,,,,
Southeastern Technical Institute,MA,South Easton,Bristol County,,,,
Springfield College,MA,Springfield,Hampden County,995.0,1031.0,2026.0,6.0
Springfield Technical Community College,MA,Springfield,Hampden County,608.0,785.0,1393.0,14.0
University of Massachusetts-Dartmouth,MA,North Dartmouth,Bristol County,2424.0,2470.0,4894.0,6.0
Stonehill College,MA,Easton,Bristol County,1014.0,1332.0,2346.0,4.0
Suffolk University,MA,Boston,Suffolk County,1633.0,2393.0,4026.0,7.0
Rob Roy Academy-Taunton,MA,Taunton,Bristol County,,,,
Tufts University,MA,Medford,Middlesex County,2901.0,3598.0,6499.0,6.0
Wellesley College,MA,Wellesley,Norfolk County,,,,
Wentworth Institute of Technology,MA,Boston,Suffolk County,2844.0,801.0,3645.0,7.0
Western New England University,MA,Springfield,Hampden County,1462.0,1060.0,2522.0,6.0
Westfield State University,MA,Westfield,Hampden County,1558.0,1925.0,3483.0,6.0
Wheaton College (Massachusetts),MA,Norton,Bristol County,650.0,1047.0,1697.0,7.0
Williams College,MA,Williamstown,Berkshire County,1030.0,1099.0,2129.0,6.0
Worcester Polytechnic Institute,MA,Worcester,Worcester County,3004.0,2006.0,5010.0,6.0
Worcester State University,MA,Worcester,Worcester County,1368.0,2204.0,3572.0,6.0
Adrian College,MI,Adrian,Lenawee County,916.0,802.0,1718.0,6.0
Albion College,MI,Albion,Calhoun County,696.0,802.0,1498.0,6.0
Hillsdale Beauty College,MI,Hillsdale,Hillsdale County,,,,
Northwestern Technological Institute,MI,Southfield,Oakland County,,,,
Alma College,MI,Alma,Gratiot County,549.0,749.0,1298.0,6.0
Alpena Community College,MI,Alpena,Alpena County,232.0,153.0,385.0,13.0
Andrews University,MI,Berrien Springs,Berrien County,566.0,621.0,1187.0,20.0
Aquinas College,MI,Grand Rapids,Kent County,466.0,592.0,1058.0,10.0
Baker College,MI,Owosso,Shiawassee County,,,,
Bay de Noc Community College,MI,Escanaba,Delta County,251.0,357.0,608.0,13.0
Bayshire Academy of Beauty Craft Inc,MI,Bay City,Bay County,,,,
Calvin University,MI,Grand Rapids,Kent County,1275.0,1510.0,2785.0,7.0
Calvin Theological Seminary,MI,Grand Rapids,Kent County,,,,
Carnegie Institute,MI,Troy,Oakland County,,,,
Michigan School of Psychology,MI,Farmington Hills,Oakland County,,,,
Central Michigan University,MI,Mount Pleasant,Isabella County,3897.0,5903.0,9800.0,1.0
Mott Community College,MI,Flint,Genesee County,521.0,969.0,1490.0,13.0
Empire Beauty School-Michigan,MI,Grand Rapids,Kent County,,,,
Cleary University,MI,Howell,Livingston County,287.0,161.0,448.0,9.0
Concordia University Ann Arbor,MI,Ann Arbor,Washtenaw County,433.0,400.0,833.0,10.0
Cranbrook Academy of Art,MI,Bloomfield Hills,Oakland County,,,,
College for Creative Studies,MI,Detroit,Wayne County,,,,
Davenport University,MI,Grand Rapids,Kent County,1163.0,1062.0,2225.0,4.0
David Pressley School of Cosmetology,MI,Royal Oak,Oakland County,,,,
Delta College,MI,University Center,Bay County,750.0,1094.0,1844.0,13.0
Detroit Business Institute-Downriver,MI,Riverview,Wayne County,,,,
MIAT College of Technology,MI,Canton,Wayne County,,,,
University of Detroit Mercy,MI,Detroit,Wayne County,765.0,1417.0,2182.0,3.0
Dorsey School of Business-Madison Heights,MI,Madison Heights,Oakland County,,,,
Dorsey College,MI,Madison Heights,Oakland County,,,,
Eastern Michigan University,MI,Ypsilanti,Washtenaw County,3449.0,5471.0,8920.0,1.0
Creative Hair School of Cosmetology,MI,Flint,Genesee County,,,,
Ferris State University,MI,Big Rapids,Mecosta County,3211.0,3350.0,6561.0,8.0
Flint Institute of Barbering Inc,MI,Flint,Genesee County,,,,
Glen Oaks Community College,MI,Centreville,St. Joseph County,125.0,167.0,292.0,13.0
Kettering University,MI,Flint,Genesee County,,,,
Gogebic Community College,MI,Ironwood,Gogebic County,137.0,196.0,333.0,13.0
Grace Christian University,MI,Wyoming,Kent County,258.0,336.0,594.0,16.0
Cornerstone University,MI,Grand Rapids,Kent County,445.0,685.0,1130.0,9.0
Grand Rapids Community College,MI,Grand Rapids,Kent County,1604.0,1882.0,3486.0,13.0
Grand Valley State University,MI,Allendale,Ottawa County,6475.0,10509.0,16984.0,4.0
Great Lakes Christian College,MI,Lansing,Eaton County,65.0,60.0,125.0,16.0
Henry Ford College,MI,Dearborn,Wayne County,1373.0,1935.0,3308.0,13.0
Hillsdale College,MI,Hillsdale,Hillsdale County,,,,
Hope College,MI,Holland,Ottawa County,1131.0,1833.0,2964.0,6.0
Jackson College,MI,Jackson,Jackson County,318.0,504.0,822.0,13.0
Kalamazoo College,MI,Kalamazoo,Kalamazoo County,536.0,683.0,1219.0,6.0
Kalamazoo Valley Community College,MI,Kalamazoo,Kalamazoo County,731.0,860.0,1591.0,12.0
Kellogg Community College,MI,Battle Creek,Calhoun County,265.0,446.0,711.0,13.0
Kirtland Community College,MI,Grayling,Crawford County,137.0,274.0,411.0,13.0
Michigan College of Beauty-Monroe,MI,Monroe,Monroe County,,,,
Lake Michigan College,MI,Benton Harbor,Berrien County,283.0,441.0,724.0,13.0
Lake Superior State University,MI,Sault Ste Marie,Chippewa County,637.0,761.0,1398.0,5.0
Lansing Community College,MI,Lansing,Ingham County,1354.0,1633.0,2987.0,13.0
Lawrence Technological University,MI,Southfield,Oakland County,1208.0,493.0,1701.0,9.0
M J Murphy Beauty College of Mount Pleasant,MI,Mount Pleasant,Isabella County,,,,
Macomb Community College,MI,Warren,Macomb County,1943.0,2548.0,4491.0,13.0
Madonna University,MI,Livonia,Wayne County,519.0,951.0,1470.0,10.0
Rochester University,MI,Rochester Hills,Oakland County,278.0,373.0,651.0,9.0
University of Michigan-Ann Arbor,MI,Ann Arbor,Washtenaw County,14819.0,15835.0,30654.0,1.0
The Michigan Barber School,MI,Detroit,Wayne County,,,,
Michigan State University,MI,East Lansing,Ingham County,16732.0,18254.0,34986.0,1.0
Michigan Technological University,MI,Houghton,Houghton County,3878.0,1592.0,5470.0,4.0
University of Michigan-Dearborn,MI,Dearborn,Wayne County,2549.0,2205.0,4754.0,9.0
University of Michigan-Flint,MI,Flint,Genesee County,,,,
Mid Michigan College,MI,Harrison,Clare County,404.0,519.0,923.0,13.0
Monroe County Community College,MI,Monroe,Monroe County,,,,
Montcalm Community College,MI,Sidney,Montcalm County,,,,
Muskegon Community College,MI,Muskegon,Muskegon County,509.0,577.0,1086.0,13.0
North Central Michigan College,MI,Petoskey,Emmet County,,,,
Northern Michigan University,MI,Marquette,Marquette County,2399.0,3376.0,5775.0,4.0
Northwestern Michigan College,MI,Traverse City,Grand Traverse County,575.0,559.0,1134.0,8.0
Northwood University,MI,Midland,Midland County,855.0,481.0,1336.0,4.0
Oakland Community College,MI,Bloomfield Hills,Oakland County,1494.0,1521.0,3015.0,13.0
Oakland University,MI,Rochester Hills,Oakland County,4446.0,6390.0,10836.0,3.0
Olivet College,MI,Olivet,Eaton County,461.0,327.0,788.0,6.0
Port Huron Cosmetology College,MI,Waterford,Oakland County,,,,
Kuyper College,MI,Grand Rapids,Kent County,,,,
Ross Medical Education Center-Lansing,MI,Lansing,Eaton County,,,,
Ross Medical Education Center-Warren,MI,Warren,Macomb County,,,,
Ross Medical Education Center-Flint,MI,Flint,Genesee County,,,,
Sacred Heart Major Seminary,MI,Detroit,Wayne County,,,,
Saginaw Valley State University,MI,University Center,Saginaw County,1953.0,3654.0,5607.0,4.0
Schoolcraft College,MI,Livonia,Wayne County,836.0,985.0,1821.0,13.0
Siena Heights University,MI,Adrian,Lenawee County,540.0,573.0,1113.0,10.0
St Clair County Community College,MI,Port Huron,St. Clair County,352.0,601.0,953.0,13.0
Southwestern Michigan College,MI,Dowagiac,Cass County,309.0,483.0,792.0,13.0
Specs Howard School of Media Arts,MI,Southfield,Oakland County,,,,
Spring Arbor University,MI,Spring Arbor,Jackson County,318.0,615.0,933.0,10.0
Michigan Career and Technical Institute,MI,Plainwell,Barry County,,,,
Finlandia University,MI,Hancock,Houghton County,237.0,148.0,385.0,6.0
Western Michigan University-Thomas M. Cooley Law School,MI,Lansing,Ingham County,,,,
Twin City Beauty College,MI,Saint Joseph,Berrien County,,,,
Walsh College,MI,Troy,Oakland County,,,,
Washtenaw Community College,MI,Ann Arbor,Washtenaw County,,,,
Wayne County Community College District,MI,Detroit,Wayne County,444.0,620.0,1064.0,13.0
Wayne State University,MI,Detroit,Wayne County,5064.0,7813.0,12877.0,4.0
West Shore Community College,MI,Scottville,Mason County,,,,
Paul Mitchell the School-Grand Rapids,MI,Kentwood,Kent County,,,,
Western Michigan University,MI,Kalamazoo,Kalamazoo County,6057.0,6070.0,12127.0,1.0
Western Theological Seminary,MI,Holland,Ottawa County,,,,
Academy College,MN,Bloomington,Hennepin County,,,,
Alexandria Technical & Community College,MN,Alexandria,Douglas County,518.0,360.0,878.0,14.0
American Indian OIC Inc,MN,Minneapolis,Hennepin County,,,,
Anoka Technical College,MN,Anoka,Anoka County,,,,
Anoka-Ramsey Community College,MN,Coon Rapids,Anoka County,774.0,1022.0,1796.0,14.0
Augsburg University,MN,Minneapolis,Hennepin County,953.0,1157.0,2110.0,6.0
Riverland Community College,MN,Austin,Mower County,459.0,398.0,857.0,14.0
Northwest Technical College,MN,Bemidji,Beltrami County,,,,
Bemidji State University,MN,Bemidji,Beltrami County,1149.0,1364.0,2513.0,4.0
Bethany Lutheran College,MN,Mankato,Blue Earth County,298.0,348.0,646.0,7.0
Bethel University,MN,Saint Paul,Ramsey County,787.0,1162.0,1949.0,6.0
Central Lakes College-Brainerd,MN,Brainerd,Crow Wing County,504.0,418.0,922.0,14.0
Carleton College,MN,Northfield,Rice County,986.0,1022.0,2008.0,6.0
Concordia College at Moorhead,MN,Moorhead,Clay County,809.0,1023.0,1832.0,6.0
Concordia University-Saint Paul,MN,Saint Paul,Ramsey County,719.0,1294.0,2013.0,4.0
Dakota County Technical College,MN,Rosemount,Dakota County,814.0,443.0,1257.0,13.0
Martin Luther College,MN,New Ulm,Brown County,332.0,320.0,652.0,6.0
Lake Superior College,MN,Duluth,St. Louis County,679.0,597.0,1276.0,14.0
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN,Duluth,St. Louis County,,,,
Minnesota State Community and Technical College,MN,Fergus Falls,Otter Tail County,845.0,820.0,1665.0,14.0
Minnesota West Community and Technical College,MN,Granite Falls,Yellow Medicine County,421.0,336.0,757.0,14.0
Gustavus Adolphus College,MN,Saint Peter,Nicollet County,964.0,1260.0,2224.0,6.0
Hamline University,MN,Saint Paul,Ramsey County,627.0,1112.0,1739.0,6.0
Hazelden Betty Ford Graduate School of Addiction Studies,MN,Center City,Chisago County,,,,
Hennepin Technical College,MN,Brooklyn Park,Hennepin County,,,,
Hibbing Community College,MN,Hibbing,St. Louis County,220.0,136.0,356.0,14.0
Aveda Arts & Sciences Institute Minneapolis,MN,Minneapolis,Hennepin County,,,,
Inver Hills Community College,MN,Inver Grove Heights,Dakota County,,,,
Itasca Community College,MN,Grand Rapids,Itasca County,288.0,148.0,436.0,14.0
Luther Seminary,MN,Saint Paul,Ramsey County,,,,
Macalester College,MN,Saint Paul,Ramsey County,950.0,1251.0,2201.0,6.0
South Central College,MN,North Mankato,Nicollet County,,,,
Minnesota State University-Mankato,MN,Mankato,Blue Earth County,4696.0,5203.0,9899.0,4.0
Mayo Clinic College of Medicine and Science,MN,Rochester,Olmsted County,,,,
Mesabi Range College,MN,Virginia,St. Louis County,262.0,190.0,452.0,14.0
Metropolitan State University,MN,Saint Paul,Ramsey County,,,,
University of Minnesota-Twin Cities,MN,Minneapolis,Hennepin County,13036.0,15539.0,28575.0,1.0
University of Minnesota-Crookston,MN,Crookston,Polk County,427.0,579.0,1006.0,5.0
Minneapolis College of Art and Design,MN,Minneapolis,Hennepin County,,,,
Minneapolis Community and Technical College,MN,Minneapolis,Hennepin County,,,,
Herzing University-Minneapolis,MN,St. Louis Park,Hennepin County,,,,
Minnesota School of Cosmetology-Woodbury Campus,MN,WOODBURY,Washington County,,,,
University of Minnesota-Duluth,MN,Duluth,St. Louis County,3894.0,3702.0,7596.0,4.0
University of Minnesota-Morris,MN,Morris,Stevens County,474.0,640.0,1114.0,6.0
